"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"phi[1]",0.3532816435161,0.064986220062639,0.233854074131515,0.307797297257972,0.350972420564507,0.395840969178579,0.486996080731213,1.00050508220593,5027,0,1
"phi[2]",0.992600287208718,0.0260556360737213,0.905461277720384,0.999951270232722,0.999999999341746,1,1,1.00411741408022,2733,0,1
"phi[3]",0.771060462183073,0.0647293549710901,0.651585990266077,0.727728846823099,0.768533135373342,0.811140317023925,0.906607592280184,1.00741516677626,457,0,1
"phi[4]",0.924817384119847,0.0788027957621702,0.761591776019375,0.861772191072972,0.93998374985653,0.999999998749679,1,1.01182071051421,225,0,1
"phi[5]",0.742798056479095,0.0560990535957345,0.634118076698606,0.703829636024347,0.742499837257926,0.782102559807054,0.850214517392625,1.01955426523818,138,0,1
"phi[6]",0.890801161373822,0.0605618666767974,0.784232836249139,0.848284398249824,0.884240037924616,0.927249014544881,1,1.14095755173296,23,0,1
"phi[7]",0.985102958048528,0.0413502657712831,0.840702281925033,0.999700193316678,0.999999995471659,0.999999999999998,1,1.0044725545306,2985,0,1
"phi[8]",0.630495716170208,0.0647333846095318,0.524283388791294,0.586525782664491,0.622784677533188,0.664889472234132,0.797059643656304,1.20840619623917,18,0,1
"phi[9]",0.801655114191421,0.154570747438415,0.582899521957425,0.676551893118084,0.737186113905045,0.999999999988451,1,2.0159658063569,6,0,1
"phi[10]",0.878507643146895,0.15838729164725,0.559770654302296,0.717025747349638,0.999900376369164,0.999999999999627,1,1.65333892395432,8,0,1
"phi[11]",0.65653082585101,0.0544422239251043,0.546585957118992,0.622095198481667,0.657696561312704,0.690946933077239,0.764137169370425,1.10255672805418,32,0,1
"phi[12]",0.968561046901794,0.0555861252225655,0.799792677203357,0.951136742947972,0.999992773963852,0.999999999998362,1,1.06857778321013,79,0,1
"phi[13]",0.910314839990439,0.106324417286943,0.694055397796473,0.814823636708084,0.991796784273799,0.999999999999902,1,1.11025171624448,30,0,1
"phi[14]",0.459218034617095,0.0509597812041715,0.373373702185652,0.422438857813482,0.454040408702756,0.491967171864733,0.570068935538982,1.05212491612967,61,0,1
"phi[15]",0.998673138103911,0.00557691325884133,0.983611447324582,0.999995578421887,0.999999999893241,1,1,1.03584745369045,246,0,1
"phi[16]",0.995236042881233,0.0209522013223391,0.930478743596806,0.999989229111656,0.999999999929245,1,1,1.06054469725094,236,0,1
"phi[17]",0.33312264705121,0.0319962495135807,0.273717003926539,0.311168100097488,0.332230424976728,0.354115888791456,0.397930015826933,1.03581192685409,80,0,1
"phi[18]",0.976069441098482,0.0593097562449823,0.780082311926727,0.999079333947398,0.999999999200094,1,1,1.05182445558375,121,0,1
"phi[19]",0.68088245514668,0.075425670035913,0.548777056151034,0.62605931733469,0.675928266573053,0.731728300476706,0.836385097067864,1.11247304838257,28,0,1
"phi[20]",0.997998050692469,0.0111416302131223,0.978950302651279,0.999996572729296,0.999999999927999,1,1,1.1688481430273,173,0,1
"phi[21]",0.815783688947039,0.157104083628036,0.571660365511761,0.676376759124322,0.777642555722486,0.999999996826294,1,1.50671923748202,9,0,1
"phi[22]",0.787037169828243,0.20355558508583,0.466868469866347,0.580947213401151,0.793284623561183,0.999999993862482,1,2.63780234894568,5,0,1
"phi[23]",0.632192180915075,0.141655982648282,0.35212572586872,0.543830448662854,0.630285783894379,0.709569934403198,0.999966134250996,1.34027698433535,15,0,1
"phi[24]",0.910848609268365,0.158133094937578,0.419367924935772,0.843390561813806,0.999997870356649,0.999999999999621,1,1.14752626325895,28,0,1
"phi[25]",0.899431413383454,0.187609151653738,0.420406608950539,0.905055980368529,0.999999624771491,0.999999999999977,1,1.60785984722049,9,0,1
"phi[26]",0.940283730186789,0.139727983508444,0.497572443665823,0.995641304528397,0.999999981347575,0.999999999999998,1,1.0838807525626,68,0,1
"phi[27]",0.924861177318244,0.147987684234406,0.462391433682108,0.946082097001628,0.999999841219619,0.999999999999988,1,1.10293078531356,58,0,1
"phi[28]",0.632615312232825,0.31706277699983,0.246152324439561,0.337694245934338,0.469052820736933,0.999999998628143,1,1.63844219509679,8,0,1
"phi[29]",0.74635317969727,0.281564933964284,0.303673305998819,0.446535458365075,0.987851986656468,0.999999999654509,1,1.41463044744637,10,0,1
"phi[30]",0.529114034451059,0.0975217504613386,0.378150473437062,0.467753424136735,0.519929436930614,0.575613483962048,0.735008492042893,1.01151062247645,557,0,1
"phi[31]",0.973491104155325,0.0791026870183154,0.70062412161274,0.999566226522264,0.999999996962747,0.999999999999999,1,1.05129789095908,155,0,1
"phi[32]",0.978797958782232,0.0717286810816587,0.713063881840254,0.999926137307589,0.999999998347294,0.999999999999998,1,1.07437074685275,112,0,1
"phi[33]",0.539236410414538,0.393464981116919,0.0609458131148973,0.158571580071177,0.381813311608427,0.999999968961071,1,1.04149409343143,67,0,1
"beta_phi[1]",-0.61675465172359,0.289656926266991,-1.18667534940962,-0.810437395262378,-0.614767564593232,-0.422824921789458,-0.0520274098066454,1.0005667056826,4745,0,0.9829375
"beta_phi[2]",25.1658096342018,18.8451980009677,2.25943508297164,9.92917242603883,21.141429709766,36.0859438998337,70.9382613569533,1.00005868252282,32000,0,1
"beta_phi[3]",1.30524228760317,0.889832605686043,0.626017920408139,0.983130059247711,1.20004694907888,1.45743673543022,2.27289966383528,1.07032467950149,1382,0,1
"beta_phi[4]",14.0921779250065,20.7459783163904,1.16142625397455,1.83008784281205,2.75124723519388,20.4998661489676,68.9338231653698,1.1035890763628,85,0,1
"beta_phi[5]",1.08328484195465,0.306969337826117,0.549924510669408,0.865601489887887,1.05900229977638,1.27796138849026,1.73628453650182,1.02102386409482,134,0,1
"beta_phi[6]",4.99718414407152,9.38691994353304,1.29050608068919,1.72120822777296,2.03320980742062,2.54517970205337,38.6640051623859,1.07404558373055,74,0,1
"beta_phi[7]",23.0124820371307,18.1018150600382,1.66346270060097,8.11207283308085,19.2129102662983,33.8484739382695,65.7480897541161,1.00833446934217,469,0,1
"beta_phi[8]",0.547282313828401,0.297605898741431,0.0972100341029053,0.349621467091933,0.501384665603164,0.685160408707188,1.36801738645295,1.22056646099496,18,0,0.99375
"beta_phi[9]",13.4237744089053,20.1401659365509,0.334687677627916,0.737970463573927,1.03139426518657,25.1844470007384,63.8970771995628,2.43152026240781,6,0,0.9995
"beta_phi[10]",17.3956252208771,20.2720371690478,0.240231322625379,0.92975584524306,9.21401318893553,28.6179258663476,69.9726232814221,1.25554329004512,14,0,0.99640625
