"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"phi[14]",0.486432050996696,0.0638283522430331,0.382459112206392,0.432012112708697,0.48275699522452,0.538742661627741,0.60357061849159,2.04712660269969,5,0,1
"phi[15]",0.997505171450265,0.00922120151521361,0.964593839424547,0.999989416599709,0.999999999821268,1,1,1.16850824875365,44,0,1
"phi[16]",0.982804916568313,0.0415892105914618,0.843264576020006,0.996484803531054,0.999998880985322,0.999999999999003,1,1.16040859684918,26,0,1
"phi[17]",0.336533146338943,0.0346775788712585,0.2750659151982,0.313342017731534,0.333606842395927,0.357735294715755,0.409228009218109,1.03427174092164,89,0,1
"phi[18]",0.966333986351855,0.0706544431356605,0.757159450816747,0.989174959692504,0.999999990833238,1,1,1.1500913599643,30,0,1
"phi[19]",0.662339431727114,0.0656472718883107,0.536151445363428,0.61856373203712,0.660952024664745,0.704274471185598,0.797751281779177,1.15490537169924,22,0,1
"phi[20]",0.999044791184123,0.00540624673043022,0.989182934005742,0.999998024806371,0.999999999940246,1,1,1.09275136212896,321,0,1
"phi[21]",0.796133068335538,0.204433378716035,0.516928883807419,0.589837786455653,0.821540932763728,0.999999999999991,1,2.84249420040784,4,0,1
"phi[22]",0.781558445167538,0.170219245528551,0.491618189892439,0.609241238030465,0.836501423885565,0.918517855165094,1,2.05254718467571,5,0,1
"phi[23]",0.751867368495222,0.235231103163086,0.380068526582141,0.530360664512831,0.719120276801513,0.999999999997663,1,3.04986946608543,4,0,1
"phi[24]",0.573398471012371,0.273387896362606,0.204893014426683,0.331428196371807,0.558021161495397,0.823657931367782,1,1.19937714104168,17,0,1
"phi[25]",0.829142582621588,0.278074186316892,0.234933358352662,0.647235169723003,0.999997256454526,0.999999999999771,1,1.30819155944269,12,0,1
"phi[26]",0.967285764484494,0.102289790631447,0.627217661027769,0.999912912166929,0.999999999035308,1,1,1.10804869603475,43,0,1
"phi[27]",0.997729488534157,0.0132178537600945,0.973457448938987,0.99999522819049,0.999999999962787,1,1,1.1947339938072,136,0,1
"phi[28]",0.703271448986949,0.288861484676014,0.309390724118619,0.409454078187829,0.66457954379366,0.999999939808514,1,1.67789589485886,6,0,1
"phi[29]",0.779000101250714,0.225879493407635,0.407873796594558,0.564186518087466,0.818174574049483,0.999999999999953,1,1.37912163488548,9,0,1
"phi[30]",0.632777320849036,0.158522269821263,0.422399375439458,0.531811999129459,0.597021283198075,0.667270526372622,1,1.66985283490558,7,0,1
"phi[31]",0.916372741721808,0.152909134222548,0.520255440918232,0.909573823770194,0.999998504293959,0.999999999999913,1,2.32605748286736,5,0,1
"phi[32]",0.994207074350423,0.0312210980201073,0.930292726324757,0.999989997194758,0.999999999332716,0.999999999999994,1,1.00502025789138,4800,0,1
"phi[33]",0.585449762475711,0.393498791151097,0.061477753290117,0.172334422712426,0.578586056521382,0.999998600299108,1,1.03975147352182,55,0,1
"beta_phi[1]",-0.614141866619174,0.287295971051151,-1.19459338668977,-0.805844744364759,-0.61006488517736,-0.428117192577483,-0.0447744201703252,1.00193084075742,971,0,0.982916666666667
"beta_phi[2]",25.3959253959334,18.5383060413345,2.19216642731555,10.5955261026038,21.9722383433402,36.3306520669413,68.8964455386733,0.999949462188179,4800,0,1
"beta_phi[3]",1.32002630135089,0.606839764438709,0.631005778560769,1.0042791737688,1.24721658492046,1.51397318840313,2.35020519644062,1.12211757666383,326,0,1
"beta_phi[4]",8.42181144573901,12.9828406114012,1.13929135356598,1.73310611697684,2.23350892536204,8.52695634922059,47.235753886475,1.12578844265662,34,0,1
"beta_phi[5]",1.13479494548166,0.296696434354793,0.596967444408933,0.933591468023606,1.12229892655495,1.32188263632697,1.74552770099914,1.01186389698794,222,0,1
"beta_phi[6]",2.1571714291554,0.618665178170891,1.2786239810787,1.77455987938908,2.10408214151633,2.4647922077309,3.26752704113694,1.27192694939165,11,0,1
"beta_phi[7]",29.2363494655216,19.2751811002196,2.04614532166567,12.2402006886808,27.6388736465096,44.6519905037312,65.9160402018438,1.20642672808873,14,0,1
"beta_phi[8]",0.533569559016232,0.232475406517463,0.130618042824545,0.371956942485197,0.517099055541909,0.679671356832869,1.03187330494922,1.08098101115569,31,0,0.997083333333333
"beta_phi[9]",2.09727628416279,4.83987513936765,0.185035756058103,0.529169110434528,0.83206588445607,1.34079605438921,17.0305173251403,1.43054412066771,15,0,0.997291666666667
